time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-01-03T02:13:11.247Z,61.4678,-149.9694,19,2.6,ml,,,,0.73,ak,ak0194zvpx4,2019-01-03T10:15:46.364Z,"6km S of Big Lake, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-01-03T01:56:34.310Z,61.014,-150.2558,8.3,3.4,ml,,,,0.8,ak,ak0194zjjtd,2019-01-04T01:58:47.584Z,"19km WSW of Anchorage, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-01-03T01:08:48.248Z,61.296,-149.8906,27.7,2.6,ml,,,,0.87,ak,ak0194z9aje,2019-01-03T02:28:02.881Z,"8km N of Anchorage, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-01-03T00:59:00.463Z,60.0693,-152.9343,109.4,2.5,ml,,,,0.35,ak,ak0194yyory,2019-01-03T01:13:48.962Z,"47km SSW of Redoubt Volcano, Alaska",earthquake,,0.9,,,automatic,ak,ak
2019-01-03T00:48:08.550Z,28.261,104.9842,10,5.2,mb,,35,6.974,0.59,us,us2000izyd,2019-01-03T10:29:49.455Z,"24km WSW of Zhongcheng, China",earthquake,3.5,1.9,0.05,134,reviewed,us,us
2019-01-03T00:43:40.170Z,19.118,-64.263,71,3.51,md,8,345,1.862,0.29,pr,pr2019003002,2019-01-03T04:25:45.925Z,"86km NNE of Road Town, British Virgin Islands",earthquake,6.21,17.82,0.15,7,reviewed,pr,pr
2019-01-03T00:34:21.630Z,18.9793,-68.247,106,2.95,md,6,208,1.4967,0.29,pr,pr2019003001,2019-01-03T04:21:54.269Z,"47km NNE of Punta Cana, Dominican Republic",earthquake,5.22,3.6,0.34,6,reviewed,pr,pr
2019-01-03T00:29:48.890Z,-19.3775,-63.9384,602.09,4.3,mb,,22,4.965,0.52,us,us2000izya,2019-01-03T00:44:01.040Z,"38km ESE of Padilla, Bolivia",earthquake,8,7.2,0.116,21,reviewed,us,us
2019-01-03T00:04:09.610Z,18.0693,-68.9171,101,3.92,md,23,201,0.6962,0.64,pr,pr2019003000,2019-01-03T00:27:48.114Z,"11km NE of La Romana, Dominican Republic",earthquake,5.91,4.16,0.35,17,reviewed,pr,pr
2019-01-03T00:03:08.010Z,-55.765,-26.9926,10,5.1,mb,,81,5.66,0.86,us,us2000izy7,2019-01-03T00:22:05.040Z,"104km N of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,10.9,1.9,0.093,38,reviewed,us,us
2019-01-02T23:29:07.510Z,19.0833,-66.8636,24,2.78,md,7,323,0.6637,0.37,pr,pr2019002012,2019-01-03T04:20:39.605Z,"66km NNE of Isabela, Puerto Rico",earthquake,2.23,22.38,0.1,7,reviewed,pr,pr
2019-01-02T20:30:02.910Z,53.6037,159.1503,19.99,4.1,mb,,159,0.654,0.33,us,us2000izxc,2019-01-02T22:08:32.040Z,"69km NE of Yelizovo, Russia",earthquake,10.7,7.5,0.214,8,reviewed,us,us
2019-01-02T20:06:28.620Z,35.8429985,-120.3945007,6.26,2.87,md,55,78,0.03522,0.08,nc,nc73129456,2019-01-02T21:14:03.146Z,"7km SSE of Parkfield, CA",earthquake,0.17,0.3,0.14,53,automatic,nc,nc
2019-01-02T20:03:24.349Z,61.395,-150.1224,20.1,3,ml,,,,1.06,ak,ak0193n0256,2019-01-03T20:05:36.264Z,"16km SSW of Big Lake, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-01-02T15:47:03.600Z,38.5778333,-112.2591667,7.36,2.91,ml,29,63,0.08264,0.27,uu,uu60308782,2019-01-02T22:14:58.040Z,"13km WSW of Monroe, Utah",earthquake,0.38,0.8,0.151,17,reviewed,uu,uu
2019-01-02T15:39:32.120Z,28.102,54.2034,10,4.3,mb,,62,3.618,0.92,us,us2000izui,2019-01-02T22:11:21.040Z,"48km NNW of Lar, Iran",earthquake,7,1.9,0.091,34,reviewed,us,us
2019-01-02T15:16:03.536Z,61.29,-149.9483,35.4,4.2,ml,,,,0.88,ak,ak0193k3hc7,2019-01-03T18:59:26.616Z,"9km NNW of Anchorage, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2019-01-02T14:26:06.620Z,-9.6038,117.9874,60.02,4.9,mb,,87,3.952,0.91,us,us2000izub,2019-01-02T21:10:06.625Z,"89km S of Boal Atas, Indonesia",earthquake,8.3,6.7,0.104,29,reviewed,us,us
2019-01-02T13:40:23.730Z,-6.5049,103.6054,34.42,5,mb,,83,2.226,0.77,us,us2000izty,2019-01-02T13:56:29.040Z,"138km SSW of Biha, Indonesia",earthquake,7.4,5.5,0.077,54,reviewed,us,us
2019-01-02T13:36:01.230Z,5.5574,126.349,55.54,4.6,mb,,152,1.686,0.68,us,us2000iztz,2019-01-02T14:00:32.040Z,"87km ESE of Caburan, Philippines",earthquake,9.5,9.1,0.119,21,reviewed,us,us
2019-01-02T13:03:08.160Z,54.7969,164.6045,10,4.5,mb,,163,3.944,0.51,us,us2000iztm,2019-01-02T13:17:49.040Z,"99km WSW of Nikol'skoye, Russia",earthquake,10,1.9,0.109,25,reviewed,us,us
2019-01-02T11:15:31.332Z,61.4919,-150.0419,20.4,3,ml,,,,0.91,ak,ak0193hpquq,2019-01-03T11:18:59.817Z,"5km SW of Big Lake, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-01-02T11:12:15.241Z,61.5319,-149.9676,29.7,3.1,ml,,,,0.61,ak,ak0193hp2cu,2019-01-03T11:14:40.261Z,"4km SW of Big Lake, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2019-01-02T11:04:02.110Z,19.1483,-65.4891,39,2.66,md,5,328,1.2495,0.16,pr,pr2019002011,2019-01-02T16:31:59.524Z,"87km NNE of Vieques, Puerto Rico",earthquake,1.9,11.55,0.41,4,reviewed,pr,pr
2019-01-02T09:36:16.090Z,18.9221,-65.6495,49,3.21,md,13,301,0.8051,0.36,pr,pr2019002010,2019-01-02T11:37:42.884Z,"58km NNE of Vieques, Puerto Rico",earthquake,3.19,8.31,0.26,11,reviewed,pr,pr
2019-01-02T08:48:04.697Z,61.9074,-150.9022,62.2,2.6,ml,,,,0.45,ak,ak0193g4giu,2019-01-02T09:03:59.539Z,"48km WNW of Willow, Alaska",earthquake,,0.7,,,automatic,ak,ak
2019-01-02T07:59:51.340Z,-2.1004,138.9693,46.76,5,mb,,108,6.763,0.77,us,us2000izsn,2019-01-04T00:45:22.154Z,"188km WNW of Abepura, Indonesia",earthquake,8.9,5.8,0.093,37,reviewed,us,us
2019-01-02T07:57:29.890Z,29.4174,51.3666,10,4.8,mb,,69,6.196,1.2,us,us2000izsm,2019-01-02T14:41:55.870Z,"22km NE of Borazjan, Iran",earthquake,7.4,1.9,0.065,74,reviewed,us,us
2019-01-02T07:40:20.200Z,18.8445,-68.5081,50,3.07,md,8,306,0.354,0.51,pr,pr2019002009,2019-01-02T11:37:09.340Z,"26km NE of Otra Banda, Dominican Republic",earthquake,6.71,4.88,0.27,7,reviewed,pr,pr
2019-01-02T07:13:10.114Z,61.3712,-149.9968,20.2,2.7,ml,,,,0.92,ak,ak0193fbjbl,2019-01-02T07:30:49.654Z,"16km S of Big Lake, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-01-02T06:48:43.493Z,58.3506,-153.2009,62.1,4.8,ml,,,,0.58,ak,ak0193exoam,2019-01-03T05:43:38.463Z,"74km NNW of Kodiak Station, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2019-01-02T06:40:31.910Z,36.0975,-97.8831,5,2.6,mb_lg,,42,0.166,0.21,us,us2000izs5,2019-01-02T22:03:35.381Z,"1km SE of Hennessey, Oklahoma",earthquake,1,1.9,0.104,24,reviewed,us,us
2019-01-02T06:37:09.986Z,62.6335,-152.1721,0,2.6,ml,,,,0.98,ak,ak0193ev8x4,2019-01-02T14:39:41.069Z,"111km WNW of Talkeetna, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-01-02T06:09:14.540Z,18.9113,-68.7376,13,2.93,md,16,206,0.5337,0.46,pr,pr2019002008,2019-01-02T09:57:35.153Z,"29km NNW of Otra Banda, Dominican Republic",earthquake,2.15,2.37,0.47,12,reviewed,pr,pr
2019-01-02T06:03:14.960Z,19.311,-64.9981,37,3.09,md,12,334,1.4457,0.2,pr,pr2019002007,2019-01-02T08:38:00.853Z,"106km NNW of Road Town, British Virgin Islands",earthquake,1.74,13.2,0.43,11,reviewed,pr,pr
2019-01-02T04:28:37.200Z,18.4403,-66.1853,84,2.78,md,13,215,0.3331,0.26,pr,pr2019002005,2019-01-02T08:36:28.166Z,"1km SSW of Levittown, Puerto Rico",earthquake,1.73,1.09,0.23,12,reviewed,pr,pr
2019-01-02T03:50:42.635Z,62.2694,-150.9361,70.3,2.6,ml,,,,0.48,ak,ak0193d5sug,2019-01-02T06:13:22.040Z,"43km W of Talkeetna, Alaska",earthquake,,0.7,,,automatic,ak,ak
2019-01-02T03:49:11.160Z,15.6562,-94.5233,35,4.1,mb,,204,2.378,1.08,us,us2000izrt,2019-01-02T06:11:16.040Z,"65km SSE of San Francisco del Mar, Mexico",earthquake,4.2,2,0.098,28,reviewed,us,us
2019-01-02T03:12:54.880Z,42.5127,104.3937,10,5,mb,,59,5.506,0.71,us,us2000izrq,2019-01-02T20:07:26.197Z,"71km WSW of Sangiyn Dalay, Mongolia",earthquake,9.7,1.9,0.05,128,reviewed,us,us
2019-01-02T02:50:16.631Z,61.3905,-149.9165,17.6,3.3,ml,,,,0.81,ak,ak0193ckbcx,2019-01-03T02:52:26.254Z,"7km SE of Big Lake, Alaska",earthquake,,0.4,,,automatic,ak,ak
